가계부,家計簿
쇼,ショー
쇼핑몰,ショッピングモール
쇼핑백,ショッピングバッグ
쇼핑센터,ショッピングセンター
수거,回収
수고,苦労
수단,手段
수도꼭지,水道の蛇口
수량,数量
수료식,修了式
수리,受理、修理
수리비,修理費
수면,睡眠
수면제,睡眠薬
수명,寿命
수산물,水産物
수상,首相
수선,修繕
수선하다,修理する、修繕する
수수료,手数料
수입,収入、輸入
수정,修正、水晶
수준,レベル
수집,収集、コレクション
수출,輸出
수표,小切手
수학여행,修学旅行
숙녀복,婦人服
숙박,宿泊
숙박비,宿泊費
숙소,宿
숙이다,下げる、うなだれる
순간,瞬間
순두부찌개,スンドゥブチゲ
술자리,飲み会
술잔,盃
술집,バー
숨기다,隠す
숨다,隠れる
숫자,数字
숲,森、林
스님,お坊さん
스스로,自ら、自分で、自然と
스캐너,スキャナー
스타일,スタイル
스티커,シール、ステッカー
스프,スープ
스피커,スピーカー
슬리퍼,スリッパ
슬픔,悲しみ
습기,湿気
습도,湿度
승강기,エレベーター
승객,乗客
승리,勝利
승용차,乗用車
승진,昇進
승차,乗車
시각,視覚
시대,時代
시도,試み
시력,視力
시리다,ひりひりする、しびれるほど冷たい
시부모님,義理の両親
시스템,システム
시아버지,舅、夫の父
시어머니,姑、夫の母
시외버스,市外バス
시인,詩人
시집,詩集、嫁入り先
시집가다,嫁に行く、（女性が）結婚する
시청각실,視聴覚室
시청자,視聴者
시합,試合
시험공부,試験勉強
식,式、やり方、方法
식구,家族
식료품,食料品
식물,植物
식물원,植物園
식비,食費
식생활,食生活
식습관,食習慣
식욕,食欲
식용유,食用油
식초,酢
식품,食品
식후,食後
신고,通報
신기다,履かせる
신기술,新技術
신기하다,不思議だ、珍しい
신나다,浮かれる、興がのる
신도시,新都市
신랑,新郎
신랑감,新郎候補
신문사,新聞社
신문지,新聞紙
신부,神父、新婦
신분증,身分証明書
신상품,新商品
신선하다,新鮮だ
신세대,新世代
신용,信用
신입생,新入生
신제품,新製品
신청자,申請者
신체,身体、体
신형,新型
신호,信号
신혼,新婚
신혼부부,新婚夫婦
신혼여행,新婚旅行
싣다,乗せる、積む
실,糸
실내,室内
실력,実力
실망,失望
실시,実施
실용적,実用的
실은,実は
실제,実際
실제로,実際に
실종,失踪
실종자,失踪者、行方不明者
실천,実践
실컷,思う存分、飽きるほど
실크,シルク
실패,失敗
실험,実験
실험실,実験室
싫증,飽き
심각하다,深刻だ
심다,植える
심리학,心理学
심리학자,心理学者
심부름,お使い
심심하다,退屈だ
심장,心臓
심장병,心臓病
싱싱하다,みずみずしい、生き生きしている
싱크대,シンク台
싸구려,安物
싸움,喧嘩
쌀쌀하다,肌寒い
쌍둥이,双子
쌓다,積む、築く
쏘다,射る、撃つ
쏟다,こぼす
쏟아지다,降り注ぐ、こぼれる、あふれる
쑥스럽다,照れくさい
쓰러지다,倒れる、床につく、滅びる
쓰레기통,ごみ箱
쓸데없다,無用だ、使い道がない
쓸데없이,やたら
쓸쓸하다,わびしい
씌우다,かぶせる、覆う
씨름,シルム（朝鮮の相撲）
씩씩하다,りりしい、たくましい
아깝다,もったいない、惜しい
아끼다,節約する、惜しむ
아나운서,アナウンサー
아니,いや
아동,児童
아랫사람,目下の人
아르바이트,アルバイト
아리랑,アリラン
아무것,何
아무래도,どうにも、いずれにしても
아무런,いかなる、何の
아무리,いくら（～しても）
아무튼,とにかく
아쉬움,心残り
아쉽다,物足りない、心残りだ、望ましい
아이디,ユーザー名、ID
아이디어,アイデア
아침저녁,朝晩
아픔,痛み
악몽,悪夢
악수,握手
안개,霧
안과,眼科
안내문,案内文
안내서,案内書
안내소,案内所
안되다,うまく行かない
안방,居間
안부,安否
안색,顔色
안심,安心
안약,目薬
안전선,安全線
안주,おつまみ
안쪽,内側、奥
안타깝다,気の毒だ、ふびんだ、もどかしい
앉히다,座らせる
알,卵、玉
알레르기,アレルギー
알아듣다,理解する
알아보다,調べる、探る、見分ける、認める
알아주다,認める
알약,錠剤
알코올,アルコール
암,がん
앞날,将来
앞두다,控える、前にする
앞뒤,前後
앞머리,前髪
애기,赤ちゃん
애완견,愛犬、ペットの犬
애완동물,ペット
애인,恋人
애정,愛情
애프터서비스,アフターサービス
액자,額縁
앨범,アルバム
야간,夜間
야경,夜景
야근,残業、夜勤
야단맞다,叱られる
야단치다,叱りつける
야외,野外
야유회,ピクニック
약하다,弱い
약혼,婚約
약혼자,婚約者、フィアンセ
얌전하다,おとなしい
양념,薬味だれ
양로원,老人ホーム
양반,ヤンバン(朝鮮時代の官僚)
양보,譲歩
양쪽,両方
얘,この子
어기다,破る、違反する
어느새,いつのまにか
어떠하다,どういうふうだ
어떡하다,どうする
어려움,困難
어린아이,子供
어린이날,子供の日
어버이날,母の日
어색하다,ぎこちない
어쨌든,とにかく、いずれにせよ
어쩌다가,偶然に、ときどき
어쩌면,どうすれば、どうして
어쩐지,なんか、やっぱり
어차피,どうせ、どっちみち、結局
어학,語学
어학연수,語学研修
어휘,語彙
억,億
억양,アクセント
억지로,無理やり
언론,言論
언론인,ジャーナリスト
언어,言語
언젠가,いつか
얻다,得る
얻어먹다,おごってもらう
얼다,凍る
얼룩,染み、汚れ
얼른,早く、すぐ、すばやく
엄격하다,厳しい、厳格だ
엄청나다,途方もない、とんでもない
업무,業務
없애다,なくす、処分する
엉덩이,お尻
엉뚱하다,とんでもない、突拍子もない
엉망,めちゃくちゃ
엊그제,一昨日
에너지,エネルギー
에이즈,エイズ
엔진,エンジン
엠티,メンバーシップトレーニング
여가,余暇
여고생,女子高生
여관,旅館
여드름,ニキビ
여럿,多数
여름날,夏の日
여성,女性
여성복,女性服
여유,余裕
여전히,依然として、相変わらず
여쭈다,（目上の人に）申し上げる、伺う
여행비,旅費
여행자,旅行者
여행지,旅行先
역사적,歴史的
역시,やはり、やっぱり
역할,役割
연결,連結
연구,研究
연구소,研究所
연구실,研究室
연극,演劇
연기,延期、演技
연도,年度
연락,連絡
연말,年末
연말연시,年末年始
연상,年上
연속,連続
연속극,連続ドラマ
연수,研修
연애,恋愛
연애결혼,恋愛結婚
연인,恋人
연장,延長
연주,演奏
연주회,コンサート
연하,年下
연하다,軟らかい、薄い
연회비,年会費
열대야,熱帯夜
열람실,閲覧室
열흘,十日
염색,カラーリング、髪を染めること
엿,飴
영수증,領収書
영양,栄養
영양가,栄養価
영양분,栄養分
영양소,栄養素
영양제,栄養剤
영업,営業
영업부,営業部
영역,エリア
영원히,永遠に
영향,影響
영화감독,映画監督
영화제,映画祭
옆집,隣の家
예금,預金
예매,前売り、事前購入、予約
예방,予防
예보,予報
예상,予想
예술,芸術
예습,予習
예식장,結婚式場
예의,礼儀
예전,昔、ずっと前
예절,礼節、行儀
예정,予定
예측,予測
옛,昔
옛말,古語、昔話
오가다,行き来する
오늘날,今日
오락,娯楽
오래되다,古い、久しい、長い時間が経つ
오랜,長い間
오르내리다,上がり下がりする
오른손,右手
오리엔테이션,オリエンテーション
오염,汚染
오토바이,バイク
오페라,オペラ
오피스텔,オフィステル
오해,誤解
오히려,むしろ
온,全～、すべての
온갖,いろいろな種類の
온도,温度
온돌,オンドル（暖房装置）
온돌방,オンドル部屋
온라인,オンライン
온몸,全身
온천,温泉
온천욕,温泉浴
온통,すべて、全部
올리다,上げる、載せる
올림픽,オリンピック
올바르다,正しい
옳다,正しい
옷차림,身なり
와인,ワイン
완성,完成
완전히,完全に
왕,王
왕복,往復
왕비,王妃
왠지,なぜだか
외가,母方
외과,外科
외교관,外交官
외동딸,一人娘
외동아들,一人息子
외래어,外来語
외로움,孤独
외모,外見
외식,外食
외아들,一人息子
외우다,覚える
외치다,叫ぶ、わめく
요가,ヨガ
요구,要求
요구르트,ヨーグルト
요리법,レシピ
요리사,シェフ
요새,近頃、最近
요약,要約
요청,要請
욕,悪口
욕실,風呂場
욕심,欲
욕심쟁이,欲ばり
용,竜
용기,勇気
용돈,小遣い
용서,容赦、許すこと
우등상,優等賞
우리말,韓国語
우물,井戸
우수성,優秀性
우승,優勝
우아하다,優雅だ
우연,偶然
우연히,偶然に
우울증,うつ病
우울하다,憂うつだ
우정,友情
우주,宇宙
우주여행,宇宙旅行
우편,郵便
우편물,郵便物
우편배달,郵便配達
운,運
운명,運命
운전기사,運転手
운전면허,運転免許証
운전자,ドライバー
울보,泣き虫
울음,泣くこと
웃어른,目上の人
웃음,笑い
워낙,あまりにも、何しろ
원고,原稿
원래,元々
원룸,ワンルーム
원리,原理
원서,願書
원숭이,サル
원인,原因
월말,月末
웨딩드레스,ウェディングドレス
위대하다,偉大だ
위로,慰労
위반,違反
윗사람,目上の人
유난히,ひときわ、際立って、とりわけ
유니폼,ユニフォーム
유람선,遊覧船
유료,有料
유리창,窓ガラス
유머,ユーモア
유명,有名
유적지,遺跡地
유창하다,流暢だ
유치원,幼稚園
유쾌하다,愉快だ
유행어,流行語
육식,肉食
육아,育児
윷놀이,韓国のすごろく
은,銀
은혜,恩恵、恵み
음력,陰暦
음료,飲料、飲み物
음성,音声
음식물,食べ物、飲食物
음식점,レストラン、食堂
음악회,音楽会
음주,飲酒
응급실,応急室
응답,応答、回答
응답자,回答者、応答者
응시자,受験者
응원,応援
의견,意見
의논,相談、議論
의류,衣類
의무,義務
의문,疑問
의사소통,意思疎通
의상,衣装
의식주,衣食住
의심,疑心、疑い
의외로,意外に
의욕,意欲
의의,意義
의지,意志
의하다,依る、基づく
의학,医学
의학적,医学的
이것저것,あれこれ
이국적,異国的
이기다,勝つ
이기적,利己的
이끌다,引く、導く
이내,すぐ
이다,～だ、である
이동,移動
이따,のちほど
이때,この時
이러하다,こうだ
이런저런,あれこれ
이루다,成す、作り上げる
이루어지다,構成される、形成される
이름나다,有名になる
이름표,ネームタグ
이리,こちらへ
이리저리,あっちこっち
이마,額
이만,これぐらいの、この程度の
이만큼,これくらい
이미,すでに
이미지,画像、イメージ
이민,移民
이별,別れ
이불,布団
이비인후과,耳鼻咽喉科
이삿짐,引っ越しの荷物
이상형,好きなタイプ、理想のタイプ、理想の人
이성,理性
이어지다,相次ぐ、続く、繋がる
이어폰,イヤホン
이외,以外
이용료,利用料
이용자,利用者
이웃,隣、隣の家
이웃집,お隣
이익,利益
이자,利子
이전,以前
이제야,今やっと
이하,以下
이해력,理解力
이해심,思いやり
이혼,離婚
이후,以後
익숙하다,よく知られている、慣れている
익히다,煮る、身につける、習う
인간,人間
인간관계,人間関係
인간성,人間性
인간적,人間的
인류,人類
인사말,ご挨拶
인상적,印象的
인생,人生
인쇄,印刷
인쇄물,印刷物
인스턴트,インスタント
인원,人員
인정받다,認定されている、認められる
인출기,ATM
인턴사원,インターン
인하다,基づく、原因による
일기장,日記帳
일단,まず、一旦
일등,一等
일반,一般
일반인,一般人
일반적,一般的
일부,一部
일부러,わざと、わざわざ
일상,日常
일상적,日常的
일생,一生
일시,一時
일시불,一括払い
일으키다,起こす、興す
일자리,働き口、職場
일정,日程
일정하다,一定だ
일출,日の出
일회용품,使い捨て
읽히다,読まれる
임산부,妊婦
임시,臨時
임신,妊娠
입금,入金
입맛,食欲
입술,唇
입시,入試、入学試験
입장,入場
입장권,入場券
입장료,入場料
입학시험,入学試験
입히다,着せる
잇다,繋ぐ、結ぶ、続ける
잎,葉
자격,資格
자격증,資格証
자극적,刺激的
자꾸,しきりに
자녀,子女
자동,自動
자라다,成長する
자랑,自慢
자료실,アーカイブ、資料室
자막,字幕
자매,姉妹
자살,自殺
자세하다,詳しい、細かい
자세히,詳しく
자식,息子や娘、子息
자신감,自信、自信感
자연적,自然的
자외선,紫外線
자원,資源
자음,子音
자존심,自尊心、プライド
자취,自炊
자판기,自販機
작가,作家
작곡,作曲
작문,作文
작사,作詞
작아지다,小さくなる
작업,作業
작품,作品
잔돈,小銭
잔디,芝生
잔디밭,芝生
잔뜩,いっぱい
잔소리,小言
잔액,残額
잠그다,（鍵を）かける
잠기다,掛かる、浸かる
잠들다,眠る
잠옷,パジャマ、寝間着
잠자리,トンボ
잡수다,召し上がる
잡아먹다,捕って食べる
잡채,チャプチェ
잡히다,捕まる
장가,男が結婚すること
장가가다,(男性が)結婚する
장기적,長期的
장난,いたずら、わるふざけ
장난감,おもちゃ
장난꾸러기,いたずらっ子
장남,長男
장녀,長女
장단점,長所と短所、一長一短、メリットとデメリット
장래,将来
장례식,葬式
장례식장,葬儀場
장바구니,買い物かご
장사,商売
장애,障害
장애인,障害者
장학,奨学
장학금,奨学金
재발급,再発給
재산,財産
재작년,一昨年
재주,才能、素質
재즈,ジャズ
재테크,財テク
재학,在学
재해,災害
재혼,再婚
재활용,リサイクル
재활용품,リサイクル用品
쟤,あの子
저금,貯金
저금통,貯金箱
저렴하다,安い
저울,秤（はかり）
저장,貯蔵、保存
저절로,自然に、自ずと
저축,貯蓄
적극적,積極的
적금,積み立て、積立預金
적당하다,適当だ、丁度良い
적당히,適当に
적성,適正
적어도,少なくとも
적어지다,少なくなる
적응,適応
적절하다,適切だ
전구,電球
전국,全国
전국적,全国的
전기,電気
전날,前の日
전달,伝達
전동차,電車
전등,電灯
전망,展望
전문가,専門家
전문적,専門的
전문점,専門店
전반전,前半戦
전부,全部
전산실,電算室
전세,保証金制度
전셋집,借家
전시,展示
전시회,展示会
전원,電源
전자,電子
전자레인지,電子レンジ
전쟁,戦争
전철,地下鉄、電車
전체,全体
전체적,全体的
전통,伝統
전통문화,伝統文化
전통적,伝統的
전화벨,電話のベル
절대로,絶対に
절반,半分、折半
절약,節約
젊은이,若者
젊음,若さ
점잖다,礼儀正しい、温厚だ
점점,だんだんと、徐々に
점차,徐々に
접다,折る、畳む
접수,受付
접하다,接する
정,情
정기적,定期的
정답,正解
정말로,本当に
정보화,情報化
정부,政府
정상,正常
정상적,正常的
정성,誠意、真心
정성껏,心をこめて
정신,精神
정신없다,忙しくて気が抜ける
정신없이,我を忘れて、無我夢中で
정신적,精神的
정의,正義
정장,フォーマル服、スーツ
정전,停電
정지,停止
정직하다,正直だ
정차,停車
정체,正体
정치,政治
정치가,政治家
정치인,政治家
정치학,政治学
정확하다,正確だ
정확히,正確に
젖다,浸る（ひたる）、ぬれる
제공,提供
제대로,きちんと、満足に
제도,制度
제때,適時、定時
제발,どうか、頼むから
제비,くじ、抽選、燕
제사,法事、祭祀
제시간,定時
제안,提案
제자,弟子
제자리,もとの場所、自分の位置
제작,製作
제출,提出
제품,製品
제한,制限
조개,貝
조건,条件
조교,助手
조깅,ジョギング
조르다,せがむ、締める
조리,調理
조리법,調理法
조림,煮つけ、煮物
조만간,遅かれ早かれ
조명,照明
조미료,調味料
조상,先祖
조심,用心すること
조절,調節
족발,豚足
존경,尊敬
졸다,居眠りする
졸리다,眠い
졸업식,卒業式
졸음,眠気
좀처럼,なかなか～しない
좁히다,狭める
종교,宗教
종이컵,紙コップ
종종,ときどき、しばしば
종합,総合
좌석,座席
좌우,左右
좌회전,左折
주거,住居
주고받다,やり取りする
주년,～周年
주름,しわ
주먹,こぶし、げんこつ
주문서,注文書
주민,住民
주방,厨房、キッチン
주식회사,株式会社
주어지다,与えられる
주유소,ガソリンスタンド、給油所
주의,注意
주인공,主人公
주장,主張
주제,主題、テーマ
주택,住宅
주택가,住宅街
죽음,死
죽이다,殺す、かっこいい、すごい
준비물,持ち物
줄거리,ストーリー、あらすじ
줄무늬,縞模様(しまもよう)
줄어들다,減る
줄이다,減らす、縮める
줍다,拾う
중간,中間
중개소,仲介所
중고,中古
중고차,中古車
중고품,中古品
중급,中級
중단,中断
중부,中部
중소기업,中小企業
중심지,中心地
중앙,中央
중요성,重要性
쥐,ネズミ
즉,すなわち、つまり
즐거움,楽しみ
증가,増加
증명서,証明書
증상,症状
지겹다,うんざりする、飽きる
지구,地球
지나가다,通り過ぎる
지나치다,度が過ぎる
지난해,去年
지루하다,飽き飽きする
지붕,屋根
지식,知識
지역,地域
지옥,地獄
지우다,なくす、消す、落とす
지원,サポート
지원자,支援者
지위,地位
지저분하다,汚らしい、散らかっている
지점,地点、支店
지진,地震
지출,支出
지치다,疲れる、くたびれる
지켜보다,見守る、世話する
지퍼,ファスナー
지휘자,指揮者
직선,直線
직장인,会社員
직접적,直接的
직진,ストレート
직후,直後
진실,真実
진심,真心、本気
진짜,本当、マジ
진찰,診察
진통제,鎮痛剤
진하다,濃い
진학,進学
진행,進行
진행자,司会者
질병,疾病
질서,秩序
질투,嫉妬
질환,疾患
짐승,獣
집값,住宅価格
집다,つかむ
집들이,引っ越しパーティー
집세,家賃
집안,家柄
집안일,家事
집주인,大家
집중,集中
집중력,集中力
짙다,濃い、深い
짜증,イライラ
짝,片方、ペア
짝사랑,片思い
짝수,偶数
쫓기다,追われる
쫓다,追う
쫓아내다,追い出す
쫓아다니다,追い回す
쭉,ずらりと、ずっと
찌다,（肉が）つく、太る
찜질,チムジル、温療法
찜통더위,蒸し暑さ
찢다,破る、裂く
찢어지다,破れる
차라리,むしろ
차례,順序、順番
차분하다,物静かだ
차이,差
차이점,違い、異なる点、差異点
착각,錯覚、勘違い
찬물,おひや
찬성,賛成
참가,参加
참고,参考
참기름,ゴマ油
참다,こらえる、我慢する
참석,参席、参加
참여,参与、立ち合い
참치,マグロ
찻집,お茶屋、喫茶店
창,窓
창피,恥
찾아내다,探し出す
찾아다니다,探し回る
찾아보다,調べる、探してみる
채널,チャンネル
채식,菜食
채식주의자,菜食主義者、ベジタリアン
채용,採用
채우다,補う
채팅,チャット
책임지다,責任を負う
챙기다,取りまとめる、用意する
처녀,処女
처리,処理
처방,処方
처방전,処方箋
천국,天国
천사,天使
천장,天井
천재,天才、天災
철학,哲学
첫날,初日
첫눈,初雪
첫사랑,初恋
첫인상,第一印象
청구서,請求書
청년,青年
청소년,青少年
청첩장,招待状
청혼,プロポーズ
체격,体格
체온,体温
체육,体育
체육관,体育館
체조,体操
체중,体重
체험,体験
쳐다보다,見上げる、見つめる、眺める
초급,初級
초기,初期
초대장,招待状
초보자,初心者
초청장,招待状
총,銃
총무과,総務課
촬영장,撮影所
촬영지,撮影地
최근,最近
최대,最大
최선,最善
최신,最新
최저,最低
최종,最終
최초,最初
최후,最後
추가,追加
추위,寒さ
추천,推薦
추천서,推薦状
추첨,抽選
추측,推測
출국,出国
출근길,出勤途中、出勤時
출력,出力
출산,出産
출산율,出産率
출생,出生
출석,出席
출신,出身
출입,出入り
출입국,出入国
출퇴근,出勤と退社
출판사,出版社
충격,衝撃
충고,忠告
충돌,衝突
충분하다,十分だ
충분히,十分に
취업,就職
취업난,就職難
취침,就寝
취하다,酔う
측,側
치료제,治療薬
치수,寸法
치우다,片づける、掃除する
치즈,チーズ
친어머니,実母、実の母
친환경,環境に優しい
침,つば
침실,寝室
칭찬,称賛
카네이션,カーネーション
카세트,カセット
카센터,カーセンター
카페인,カフェイン
카펫,カーペット
칸,空欄、欄
칼국수,カルグクス、韓国式うどん
캄캄하다,真っ暗だ
캠퍼스,キャンパス
캠프,キャンプ
커다랗다,非常に大きい
커지다,大きくなる
커튼,カーテン
커플,カップル
컴퓨터실,コンピューター室
켜지다,（火・電灯が）つく
코끼리,象
코너,コーナー
코미디,コメディー
코미디언,コメディアン
콘서트,コンサート
콘센트,コンセント
콩나물,豆もやし
퀴즈,クイズ
큰길,大通り
큰돈,大金
큰소리,大きな声、大声
큰일,大ごと、重大なこと、大事
클래식,クラシック
클릭,クリック
키우다,大きくする、育てる
타입,タイプ
탈,事故、故障、仮面
탈의실,脱衣室、試着室
탈춤,仮面舞踊、タルチュム
탑승구,搭乗口
탕,スープ、汁
태도,態度
태양,太陽
태양열,太陽熱
태우다,焼く、燃やす
택배,宅配、宅配便
택배비,宅配費
터지다,突然起こる、裂ける、ドッと出る
털다,はたく
테이프,テープ
텐트,テント
토끼,ウサギ
토론,討論
토하다,吐く
통계,統計
통신,通信
통역,通訳
통일,統一
통증,痛み
통지서,通知書
통화,通話
퇴근길,仕事帰り
퇴원,退院
퇴직,退職
투표,投票
튀기다,揚げる、はじく、跳ね飛ばす
트럭,トラック、貨物自動車
특기,特技
특별,特別
특별하다,特別だ
특산물,特産物
튼튼하다,丈夫だ、頑丈だ
틀림없다,間違いない、決まってる、確かだ
틀림없이,間違いなく
틈,隙、暇
티켓,チケット
팀장,チーム長
파다,掘る、彫る、掘り下げる、えぐる
파마,パーマ
파일,ファイル
파전,チヂミ
판매,販売
판매자,販売者
팥빙수,パッピンス(韓国風かき氷)
패션쇼,ファッションショー
패스트푸드,ファーストフード
팩스,ファックス
팬,ファン
퍼지다,広がる、行き渡る
편리,便利
편식,偏食
편안하다,楽だ
편의점,コンビニ、便宜店
편히,楽に
펼치다,広げる
평가,評価
평균,平均
평등,平等
평범하다,平凡だ
평생,一生
평소,普段、日頃
평화,平和
포근하다,暖かい、穏やかだ
포기,放棄
포도주,ワイン、葡萄酒
포인트,ポイント
포장지,包装紙
폭발,爆発
폭설,どか雪、爆雪
폭식,暴食、やけ食い
폭우,暴雨、豪雨
폭포,滝
표시,標示
표정,表情
표지판,表示板
푸르다,青い
풀리다,解ける、ほぐれる、和らぐ
풀이,解釈
품질,品質
풍경,風景
풍부하다,豊富だ、豊かだ
풍선,風船
프라이팬,フライパン
프로그래머,プログラマー
프린터,プリンター
플라스틱,プラスティック
플러그,プラグ
피로,疲労
피부,皮膚、肌
피부과,皮膚科
피부병,皮膚病
피서,避暑
피아니스트,ピアニスト
피하다,避ける
피해,被害
피해자,被害者
필수,必須
필수품,必需品
필요성,必要性
핑계,言い訳
하도,あまりにも
하루빨리,一日でも早く
하루하루,一日一日
하룻밤,一晩
하마터면,危うく
하품,あくび
학과,学科
학력,学歴
학문,学問
학비,学費
학습,学習
학자,学者
학점,単位
한가하다,暇だ
한국학,韓国学
한글날,ハングルの日
한꺼번에,一度に、一緒に
한낮,真昼
한눈,脇目
한동안,一時、しばらく
한두,一・二
한마디,一言
한순간,一瞬
한숨,一息、一休み、溜息
한약,漢方薬、韓方薬
한옥,韓屋(伝統的な朝鮮の建築様式を使用した家屋)
한우,韓牛、韓国の牛
한의사,漢方医
한정식,韓定食
한지,伝統韓紙
한참,しばらく、はるかに
한창,とても、さかんに
한편,一方
할부,分割払い
할인점,ディスカウントストア
함부로,むやみに、やたらに
합격자,合格者
합치다,合わせる
합하다,足す
항공,航空
항공권,航空券
항공기,航空機
항공료,航空料
항공사,航空会社
항공편,航空便
해결,解決
해결책,解決策
해고,解雇
해내다,やりとげる
해돋이,日の出
해롭다,有害である、害になる
해마다,毎年
해물,海産物
해보다,やってみる
해산물,海産物
해소,解消
해소법,解消法
해수욕,海水浴
해수욕장,海水浴場
해열제,解熱剤
핸드백,ハンドバック
햇곡식,新穀
햇볕,日差し、日光
행동,行動
행사장,催事場
행운,幸運
향,香、香り
향기,香り
향수,香水、郷愁
향하다,向かう
허락,許諾、許し
허리띠,ベルト、腰巻
험하다,険しい
헤매다,さまよう、迷う
헤어스타일,ヘアスタイル
헤어지다,別れる、離れる
헤엄치다,泳ぐ
헬멧,ヘルメット
헬스클럽,スポーツクラブ、ジム
현관,玄関
현관문,玄関ドア
현대,現代
현대식,現代式
현대인,現代人
현대적,現代的
현모양처,良妻賢母
현실,現実
현실적,現実的
현장,現場
형용사,形容詞
형태,形
형편,状況、事情
혜택,恵み、恩恵
호감,好感
호기심,好奇心
호수,湖
호칭,呼称
혹시,もしかして、ひょっとして
혹은,あるいは
혼나다,怒られる
혼내다,叱る、こらしめる
혼잡,混雑
홀수,奇数
홍보,広報
홍보물,広報物
홍수,洪水
화려하다,華麗だ、華やかだ
화면,画面
화물,貨物
화분,植木鉢
화산,火山
화상,やけど
화장지,トイレットペーパー
화재,火災、火事
화창하다,のどかだ
화해,和解
확실하다,確実だ
환경,環境
환기,換気
환불,払い戻し
환상적,幻想的
환송회,歓送会
환영회,歓迎会
환율,為替レート
환전,両替
환절기,季節の変わり目
활동,活動
활동적,活動的
활발하다,活発だ
활용,活用
활짝,ぱあっと、満開に
황당하다,とてつもない、とんでもない
황사,黄砂
〜회,～回
회갑,還暦
회복,回復
회비,会費
회식,会食、飲み会
회원,会員
회의장,会議場
회장,会長
횟수,回数
효과,効果、効き目
효과적,効果的
효녀,孝行娘
효율적,効率的
후문,裏門
후반,後半
후반전,後半戦
후보,候補
후식,デザート
후회,後悔
훈련,訓練
훌륭하다,立派だ、すばらしい
훔치다,盗む
훨씬,ずっと、はるかに
휘발유,ガソリン、揮発油
휴가철,休暇の季節
휴게실,休憩室
휴대,携帯
휴대폰,携帯電話
휴식,休息
휴양지,リゾート
휴학,休学
흐르다,流れる
흔들다,振る、揺らす
흔들리다,揺れる、そよぐ、ぐらつく
흔하다,ありふれている
흔히,よく、多く
흘리다,流す、こぼす、紛失する
흙,土
흡연,喫煙
흥미,興味
흥분,興奮
희다,白い
희망,希望
희망자,希望者
희생자,犠牲者
힘껏,力の限り、精一杯
